iter	Logloss
0	0.6894623831
1	0.6853458533
2	0.6789091303
3	0.6747530819
4	0.6684007109
5	0.6636604566
6	0.6579019782
7	0.6535012749
8	0.6477255232
9	0.6422538329
10	0.6384852977
11	0.6341651316
12	0.6296102545
13	0.6248481836
14	0.6220272364
15	0.6189416607
16	0.6144921806
17	0.6105033789
18	0.6053169336
19	0.6011448978
20	0.5970043225
21	0.5928651617
22	0.5896413567
23	0.5859166263
24	0.5812209483
25	0.5772402045
26	0.5738168352
27	0.5704319986
28	0.5663703318
29	0.5627511271
30	0.5590214247
31	0.5557862185
32	0.5525403398
33	0.5490353188
34	0.5458903795
35	0.5428550806
36	0.5402649012
37	0.5372238159
38	0.5348049121
39	0.5321052637
40	0.529548645
41	0.5274494471
42	0.5251698869
43	0.5218452282
44	0.5193171983
45	0.5178386817
46	0.5148250708
47	0.5125110498
48	0.509364396
49	0.5065245468
50	0.5036193333
51	0.5013146133
52	0.4995492657
53	0.4977850325
54	0.4960039975
55	0.4941694281
56	0.4923142851
57	0.4912303967
58	0.4887251265
59	0.4865432053
60	0.484775286
61	0.4830787744
62	0.4805491587
63	0.4790045063
64	0.4769703297
65	0.4756071541
66	0.4734802675
67	0.4726486206
68	0.4704018068
69	0.4682781777
70	0.4674603752
71	0.4656293633
72	0.4649000704
73	0.4628871961
74	0.4609013675
75	0.459115232
76	0.4572416156
77	0.4565899881
78	0.4553228657
79	0.4538433632
80	0.4519819624
81	0.4503476861
82	0.4490167425
83	0.4476412655
84	0.4462518156
85	0.4449690487
86	0.4437469311
87	0.4422008643
88	0.4402536542
89	0.4389755592
90	0.4379747798
91	0.4365330814
92	0.4350904829
93	0.4341320081
94	0.4325732971
95	0.4319710035
96	0.4309260336
97	0.4294541605
98	0.4283355541
99	0.4269600343
100	0.4257057276
101	0.4243505671
102	0.423158367
103	0.4219246339
104	0.4208420314
105	0.4197136097
106	0.4188451446
107	0.4185088511
108	0.4173628561
109	0.4172005814
110	0.4160235973
111	0.4150002297
112	0.4140443266
113	0.4130343748
114	0.4117192043
115	0.4113937549
116	0.4102702623
117	0.4099325544
118	0.4091920746
119	0.40822327
120	0.4074622165
121	0.4067481395
122	0.4060251472
123	0.4053780202
124	0.4045248567
125	0.4035125904
126	0.4032788652
127	0.4024728496
128	0.4016833359
129	0.4014690699
130	0.4005961472
131	0.399786617
132	0.3991598065
133	0.3984448722
134	0.3975681776
135	0.3967105137
136	0.3963580185
137	0.3958224607
138	0.3952693725
139	0.3947020113
140	0.3942471622
141	0.3935691748
142	0.3932781434
143	0.3924653986
144	0.3917653373
145	0.391374738
146	0.3906836349
147	0.3904868994
148	0.3897626212
149	0.3895727008
150	0.3888998567
151	0.3883615558
152	0.3879924303
153	0.3873822073
154	0.3868862109
155	0.3865752917
156	0.3862348407
157	0.3856409909
158	0.3850616284
159	0.3845076829
160	0.3840296027
161	0.3836588056
162	0.3833725747
163	0.3828478181
164	0.3823985411
165	0.3819562076
166	0.381517046
167	0.3810724408
168	0.3805547564
169	0.3802904708
170	0.3798525092
171	0.3793688142
172	0.3791037142
173	0.3788013244
174	0.3784417999
175	0.3783450609
176	0.3780000665
177	0.3775051846
178	0.3770193036
179	0.3765045337
180	0.376189414
181	0.3757792269
182	0.3755209848
183	0.3751867059
184	0.3747636602
185	0.3746993247
186	0.3742658637
187	0.3740808723
188	0.3737895837
189	0.3733108178
190	0.3728917154
191	0.3725710665
192	0.3721153602
193	0.3716423806
194	0.3710827774
195	0.3710188705
196	0.3708492665
197	0.3704552383
198	0.3701951959
199	0.3700493802
200	0.3695837299
201	0.3693934237
202	0.3688826829
203	0.3686006953
204	0.3682265978
205	0.3680277621
206	0.3677006411
207	0.3674115813
208	0.3670189247
209	0.3667534817
210	0.3667174779
211	0.3662783162
212	0.3658969751
213	0.3656607639
214	0.3654798015
215	0.3652777511
216	0.3649091399
217	0.3645270701
218	0.3642561838
219	0.3639746677
220	0.3638784859
221	0.3634784141
222	0.3631055168
223	0.362816757
224	0.3627133316
225	0.3622516246
226	0.3618259644
227	0.361463311
228	0.361158221
229	0.3609155805
230	0.3605416116
231	0.3602907845
232	0.3600515301
233	0.3598239341
234	0.3595037139
235	0.3593008491
236	0.3589942589
237	0.3587069351
238	0.3581954656
239	0.3580702878
240	0.3579282868
241	0.3575305724
242	0.3574187032
243	0.357333044
244	0.3568965826
245	0.356723764
246	0.3565218208
247	0.3561839629
248	0.3561391295
249	0.3558383256
250	0.3556513411
251	0.3555172267
252	0.3552924596
253	0.3549115685
254	0.3544960022
255	0.3542282876
256	0.3537572796
257	0.3536555472
258	0.3531762884
259	0.3528685195
260	0.3525442059
261	0.352371773
262	0.3520370226
263	0.3517746229
264	0.3514319216
265	0.3511230812
266	0.3509204307
267	0.3505492693
268	0.3503014211
269	0.3501623989
270	0.3498931199
271	0.3496881335
272	0.3492342274
273	0.3491129072
274	0.348862123
275	0.3487706131
276	0.3485150927
277	0.3483670267
278	0.3481961797
279	0.3480796814
280	0.3479600542
281	0.3477188282
282	0.3475990081
283	0.3474678511
284	0.3472668508
285	0.3470154452
286	0.34682186
287	0.3466397403
288	0.3465627177
289	0.3462718149
290	0.3461090045
291	0.3458498837
292	0.3457323567
293	0.3454683925
294	0.3452104718
295	0.3450151722
296	0.3447194046
297	0.344596177
298	0.3443858543
299	0.3442842505
300	0.3442714777
301	0.3441647948
302	0.3438168215
303	0.3437627728
304	0.3436714558
305	0.3435214396
306	0.3434956583
307	0.343327533
308	0.3431955402
309	0.3429114524
310	0.3428588181
311	0.3427159599
312	0.342550642
313	0.3424454593
314	0.3422899353
315	0.3420858276
316	0.3419982182
317	0.3419740655
318	0.3415899813
319	0.3414764404
320	0.3414373076
321	0.3412263634
322	0.3410367644
323	0.3410271634
324	0.3409452117
325	0.3406214125
326	0.3402918698
327	0.3401178724
328	0.3399481613
329	0.3398118608
330	0.3396006381
331	0.3393580833
332	0.3392910047
333	0.3390166893
334	0.3388026805
335	0.3386305477
336	0.3385022624
337	0.3383783062
338	0.3383442954
339	0.3381912574
340	0.3380777595
341	0.3378230749
342	0.337597622
343	0.3374431053
344	0.3372863598
345	0.3369960356
346	0.3369272639
347	0.3367023039
348	0.3365655749
349	0.336423381
350	0.3363665891
351	0.336141072
352	0.3360957028
353	0.3358817368
354	0.3356335672
355	0.3355745251
356	0.3353767395
357	0.3353116753
358	0.3351313987
359	0.3349374064
360	0.3348269945
361	0.3346854864
362	0.3346740208
363	0.3345470643
364	0.3344487394
365	0.3342550042
366	0.33412314
367	0.3339397559
368	0.3338746489
369	0.333543156
370	0.3331910037
371	0.3330811276
372	0.3330027119
373	0.3327635433
374	0.3326278644
375	0.332472469
376	0.332465354
377	0.3324606178
378	0.3323650146
379	0.3321764228
380	0.3319680075
381	0.3319077652
382	0.3316293138
383	0.3315577132
384	0.3313905737
385	0.3312107901
386	0.3311058002
387	0.3309741717
388	0.3307935736
389	0.3306735607
390	0.3304156614
391	0.3303063425
392	0.3301715637
393	0.3298871758
394	0.3298596157
395	0.3296820394
396	0.3295061347
397	0.3294305909
398	0.329217075
399	0.329148689
400	0.3289751631
401	0.328895226
402	0.3288392056
403	0.3287498603
404	0.32856159
405	0.3284448988
406	0.3284108023
407	0.3283555534
408	0.3281849636
409	0.3278775162
410	0.3278338614
411	0.3277794913
412	0.3275821557
413	0.3274660218
414	0.3273727331
415	0.3272259744
416	0.327117127
417	0.3270276102
418	0.3268982962
419	0.326570618
420	0.3263871054
421	0.3261236555
422	0.3260173583
423	0.3259614666
424	0.3257973917
425	0.3254629842
426	0.3251569512
427	0.3249178469
428	0.3247591512
429	0.3247255047
430	0.324508967
431	0.3244360163
432	0.32440417
433	0.3243346696
434	0.3242267009
435	0.3240516748
436	0.3240456099
437	0.3239208607
438	0.323846667
439	0.3237429415
440	0.323550235
441	0.3233582572
442	0.3232808917
443	0.3232011045
444	0.3229667364
445	0.3227946035
446	0.3227391832
447	0.3225815162
448	0.3224671396
449	0.3223483482
450	0.3223447907
451	0.322154013
452	0.3220405793
453	0.3220276565
454	0.3219258812
455	0.3216763829
456	0.3214780186
